EZABPQM,Tranche_Debut,Tranche_Fin,Mnémo,Territoire,Date_Attribution
054270,0542700000,0542709999,FRTE,Sud Ouest,01/01/2017
054271,0542710000,0542719999,FRTE,Sud Ouest,01/01/2017
054272,0542720000,0542729999,FRTE,Sud Ouest,01/01/2017
054273,0542730000,0542739999,FRTE,Sud Ouest,01/01/2017
054274,0542740000,0542749999,FRTE,Sud Ouest,01/01/2017
054275,0542750000,0542759999,FRTE,Sud Ouest,01/01/2017
054276,0542760000,0542769999,FRTE,Sud Ouest,01/01/2017
054277,0542770000,0542779999,FRTE,Sud Ouest,01/01/2017
054278,0542780000,0542789999,FRTE,Sud Ouest,01/01/2017
054279,0542790000,0542799999,FRTE,Sud Ouest,01/01/2017
054280,0542800000,0542809999,FRTE,Sud Ouest,01/01/2017
054281,0542810000,0542819999,FRTE,Sud Ouest,01/01/2017
054282,0542820000,0542829999,FRTE,Sud Ouest,01/01/2017
054283,0542830000,0542839999,FRTE,Sud Ouest,01/01/2017
054284,0542840000,0542849999,FRTE,Sud Ouest,01/01/2017
054285,0542850000,0542859999,FRTE,Sud Ouest,01/01/2017
054286,0542860000,0542869999,FRTE,Sud Ouest,01/01/2017
054287,0542870000,0542879999,FRTE,Sud Ouest,01/01/2017
054288,0542880000,0542889999,FRTE,Sud Ouest,01/01/2017
054289,0542890000,0542899999,FRTE,Sud Ouest,01/01/2017
054290,0542900000,0542909999,FRTE,Sud Ouest,01/01/2017
054291,0542910000,0542919999,FRTE,Sud Ouest,01/01/2017
054292,0542920000,0542929999,FRTE,Sud Ouest,01/01/2017
054293,0542930000,0542939999,FRTE,Sud Ouest,01/01/2017
054294,0542940000,0542949999,FRTE,Sud Ouest,01/01/2017
054295,0542950000,0542959999,FRTE,Sud Ouest,01/01/2017
054296,0542960000,0542969999,FRTE,Sud Ouest,01/01/2017
054297,0542970000,0542979999,FRTE,Sud Ouest,01/01/2017
054298,0542980000,0542989999,FRTE,Sud Ouest,01/01/2017
054299,0542990000,0542999999,FRTE,Sud Ouest,01/01/2017
